codeP,date,spe,sp_check,region,site,depth,season,P,I,Volume,Weight,Surface,Vi,V.bio,W.fil,W.fil.tis,W.fil.tis.bur,countS.1,countS.2,countS.3,countS.4,countS.5,countS.6,countC.1,countC.2,countC.3,countC.4,countC.5,countC.6,V.chl.slurry,V.extraction.T,V.extraction.S,A750T,A664T,A647T,A630T,A750S,A664S,A647S,A630S,SDS1V,V.prot.slurry,STC,STCX4,STCX3,STCX2,STCX1,STCE,abs.prot.blank,abs.prot.zoox1,abs.prot.zoox2,abs.prot.zoox3,abs.prot.host1,abs.prot.host2,abs.prot.host3,STC-2 (for host),STCX4b,STCX3b,STCX2b,STCX1b,STCEb,abs.prot.blank.b,Hdelta15N,Hdelta13C,Zdelta15N,Zdelta13C,H_N%,H_C%,Z_N%,Z_C%,SST_mean,SST_sd,light_mean,light_sd
ISPSS3,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,47749.94531,70.2653,15525.01953,10,1,0.089,0.1077,0.1011,110,180,115,170,105,110,9,14,9,18,19,12,3,10,10,0.002,0.151,0.044,0.051,0.005,0.188,0.071,0.062,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.2107,1.295,NA,1.7063,1.6925,NA,NA,NA,NA,NA,NA,NA,NA,3.863,-12.73,2.66,-13.417,1.650289,11.5938491,7.14,48.85,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS4,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,38221.82813,58.8155,11648.87402,10,1,0.0901,0.109,0.1031,90,130,175,185,105,145,17,13,14,15,10,14,3,10,10,0.002,0.134,0.039,0.042,0.005,0.767,0.446,0.23,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0039,1.0659,NA,1.1978,1.2007,NA,NA,NA,NA,NA,NA,NA,NA,3.095,-14.322,2.473,-14.969,0.97708,10.3927129,6.42,54.74,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS5,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,27858.51563,41.375,10319.08301,10,1,0.0909,0.1096,0.1039,130,90,135,125,130,105,20,19,15,23,12,19,3,10,10,0.002,0.115,0.036,0.041,0.004,0.505,0.352,0.171,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0717,1.141,NA,1.306,1.3121,NA,NA,NA,NA,NA,NA,NA,NA,3.513,-12.683,2.208,-12.662,1.1987201,9.416657,7.19,55.89,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS6,19/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,47432.38672,70.1726,15432.29785,10,1,0.0902,0.1096,0.1031,175,165,190,105,110,90,20,15,23,24,22,26,3,10,10,0.002,0.181,0.055,0.063,0.003,0.278,0.134,0.091,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.113,1.2062,NA,1.7112,1.712,NA,NA,NA,NA,NA,NA,NA,NA,2.946,-11.905,2.195,-11.968,0.8457247,10.7146917,6.13,58.58,28.34967213,1.07605602,44.06271592,4.294457341
ISPDS1,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,62277.09375,96.2542,16934.08398,10,1,0.0908,0.1102,0.104,220,185,185,200,140,200,3,17,8,14,3,16,3,10,10,0.002,0.254,0.073,0.08,0.004,0.25,0.104,0.084,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0865,1.1355,NA,1.2486,1.2627,NA,NA,NA,NA,NA,NA,NA,NA,3.825,-14.322,3.377,-14.612,1.1024152,8.7836918,3.62,55.24,28.34967213,1.07605602,19.06912032,4.17121641
ISPDS2,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,34220.375,36.2377,7926.844727,10,1,0.0889,0.1097,0.1017,170,190,165,180,220,165,31,30,27,33,32,34,3,10,10,0.002,0.176,0.059,0.065,0.02,0.449,0.233,0.139,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.3365,1.4116,NA,1.3588,1.367,NA,NA,NA,NA,NA,NA,NA,NA,4.456,-14.505,4.043,-14.076,1.2754858,13.4667526,5.23,64.83,28.34967213,1.07605602,19.06912032,4.17121641
ISPDS3,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,30074.67773,54.5521,12125.26758,10,1,0.0904,0.1111,0.1043,105,100,130,215,135,110,27,11,12,17,12,14,3,10,10,0.001,0.238,0.068,0.074,0.007,0.784,0.416,0.247,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0265,1.0831,NA,1.2338,1.2546,NA,NA,NA,NA,NA,NA,NA,NA,4.436,-13.956,3.436,-14.559,0.9979831,8.698686,6.31,57.26,28.34967213,1.07605602,19.06912032,4.17121641
ISPDS4,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,21456.875,31.473,8310.544922,10,1,0.0911,0.1103,0.1047,130,110,80,110,80,105,26,24,8,23,34,37,3,10,10,0,0.143,0.041,0.045,0.102,1.028,0.63,0.36,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,0.8278,0.8619,NA,0.8471,0.8566,NA,NA,NA,NA,NA,NA,NA,NA,4.445,-14.609,3.355,-14.991,0.8083928,6.8256242,6.69,54.52,28.34967213,1.07605602,19.06912032,4.17121641
ISPDS5,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,16592.11719,33.1668,6498.794922,10,1,0.0897,0.1083,0.1028,135,120,155,155,120,125,10,10,2,0,2,5,3,10,10,0.001,0.176,0.053,0.061,0.547,1.381,1.025,0.81,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0551,1.0824,NA,0.7964,0.8058,NA,NA,NA,NA,NA,NA,NA,NA,3.756,-13.842,3.511,-14.536,1.011727,9.277313,6.45,55,28.34967213,1.07605602,19.06912032,4.17121641
ISPDS6,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,84571.73438,143.2468,15793.34668,10,1,0.0913,0.1113,0.1042,140,115,145,170,155,135,30,21,16,18,16,24,3,10,10,0.001,0.268,0.078,0.084,0.388,1.345,0.933,0.683,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.3141,1.4036,NA,1.4363,1.4439,NA,NA,NA,NA,NA,NA,NA,NA,4.735,-14.04,3.497,-14.747,0.9646025,8.74949,7.17,56.34,28.34967213,1.07605602,19.06912032,4.17121641
ISPD1,9/2/2017,I. palifera,1,GI,Guiwan ,32,w,1,1,40180.2852,59.6735,16946.4869,10,1,0.0906,0.1107,0.1046,215,180,170,230,210,220,5,4,2,8,7,12,3,10,10,0.001,0.319,0.094,0.1,0.003,0.304,0.126,0.098,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.176,1.164,NA,1.5541,1.5379,NA,NA,NA,NA,NA,NA,NA,NA,4.06,-17.06,1.914,-17.671,0.572594881,3.739359003,7.31,55.53,25.10322581,0.186429381,10.86563051,3.228583778
ISPD3,9/2/2017,I. palifera,1,GI,Guiwan ,32,w,1,1,34804.35938,56.3125,14471.86231,10,1,0.0878,0.0999,0.0954,195,220,160,160,200,160,4,21,8,13,4,7,3,10,10,0,0.385,0.112,0.119,0.002,0.332,0.147,0.103,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.2493,1.2843,NA,1.6069,1.6072,NA,NA,NA,NA,NA,NA,NA,NA,3.105,-15.58,2.305,-16.424,0.9876264,7.7689062,7.33,56.66,25.10322581,0.186429381,10.86563051,3.228583778
ISPD4,9/2/2017,I. palifera,1,GI,Guiwan ,32,w,1,1,26087.91992,41.174,8509.538086,10,1,0.0895,0.1037,0.0976,250,275,300,240,215,325,24,15,19,11,23,28,3,10,10,0,0.545,0.16,0.163,0.005,0.266,0.105,0.097,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.3501,1.2897,NA,2.2215,2.2388,NA,NA,NA,NA,NA,NA,NA,NA,2.942,-16.798,3.064,-17.877,0.8824598,6.5156285,7.29,55.99,25.10322581,0.186429381,10.86563051,3.228583778
ISPD5,10/2/2017,I. palifera,1,GI,Guiwan ,32,w,1,1,9097.894531,13.4048,6098.307129,10,1,0.0888,0.1008,0.0964,135,155,155,120,185,155,4,11,15,17,11,15,3,10,10,-0.001,0.392,0.108,0.116,0.009,0.389,0.179,0.127,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.8481,1.8312,NA,1.3569,1.3923,NA,NA,NA,NA,NA,NA,NA,NA,3.091,-15.019,2.907,-16.508,0.9152403,6.422951,7.85,55.09,25.10322581,0.186429381,10.86563051,3.228583778
ISPD6,10/2/2017,I. palifera,1,GI,Guiwan ,32,w,1,1,49692.02734,84.8843,12039.73145,10,1,0.0904,0.1026,0.098,205,225,235,255,280,195,21,6,8,4,2,5,3,10,10,0,0.389,0.119,0.13,0.007,0.497,0.295,0.171,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.5726,1.5728,NA,1.4027,1.4209,NA,NA,NA,NA,NA,NA,NA,NA,3.186,-14.936,3.763,-16.429,0.8719977,8.3781242,8.15,55.15,25.10322581,0.186429381,10.86563051,3.228583778
ISPD7,12/2/2017,I. palifera,1,GI,Guiwan ,40,w,1,1,13685.83496,19.0701,4962.833496,10,1,0.0918,0.1044,0.0999,230,215,130,185,200,190,32,9,7,9,10,12,3,10,10,0,0.29,0.089,0.093,0.011,0.548,0.317,0.188,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.0848,1.1151,NA,1.0939,1.1133,NA,NA,NA,NA,NA,NA,NA,NA,3.422,-16.206,2.852,-17.287,0.9772954,6.7130973,7.79,53.85,25.10322581,0.186429381,8.22187065,2.703807284
ISPS1,8/2/2017,I. palifera,1,GI,Guiwan ,10,w,1,1,49223.0781,78.3822,14740.5293,10,1,0.0904,0.1022,0.0977,165,155,185,195,175,125,18,16,25,21,20,15,3,10,10,-0.001,0.234,0.072,0.075,0.007,0.784,0.464,0.272,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.2255,1.2193,NA,1.4672,1.4746,NA,NA,NA,NA,NA,NA,NA,NA,2.399,-12.817,3.332,-14.117,0.8101669,8.9033528,7.84,55.78,25.10322581,0.186429381,23.55455652,5.33163119
ISPS2,8/2/2017,I. palifera,1,GI,Guiwan ,10,w,1,1,18762.57031,27.2807,6502.025391,10,1,0.0915,0.1068,0.1007,245,220,195,230,210,220,25,23,19,41,20,19,3,10,10,0,0.299,0.086,0.088,0.011,0.778,0.475,0.274,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.4994,1.4409,NA,1.3264,1.3325,NA,NA,NA,NA,NA,NA,NA,NA,2.764,-16.95,3.102,-18.149,1.0964264,6.9477311,7.62,52.03,25.10322581,0.186429381,23.55455652,5.33163119
ISPS3,8/2/2017,I. palifera,1,GI,Guiwan ,10,w,1,1,25679.16992,44.5646,6496.080078,10,1,0.0903,0.1077,0.1001,185,180,225,160,190,200,79,70,80,68,62,69,3,10,10,-0.001,0.393,0.116,0.12,0.012,0.765,0.48,0.286,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.9339,1.8433,NA,2.1304,2.1222,NA,NA,NA,NA,NA,NA,NA,NA,3.155,-13.467,3.506,-13.824,0.9032339,7.3238222,7.34,53.47,25.10322581,0.186429381,23.55455652,5.33163119
ISPS4,8/2/2017,I. palifera,1,GI,Guiwan ,10,w,1,1,70512.35938,108.3958,16586.8418,10,1,0.0909,0.1069,0.1003,215,255,220,175,240,220,48,50,22,32,36,29,3,10,10,0,0.481,0.137,0.142,0.007,0.783,0.438,0.255,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.433,1.4372,NA,2.0297,2.0175,NA,NA,NA,NA,NA,NA,NA,NA,3.578,-12.891,3.336,-14.045,1.2763151,10.2362162,7.46,52.04,25.10322581,0.186429381,23.55455652,5.33163119
ISPS5,8/2/2017,I. palifera,1,GI,Guiwan ,10,w,1,1,9255.31543,13.8518,5762.592773,11.2,1,0.0907,0.1041,0.0991,240,215,165,180,265,195,23,33,17,30,23,19,3,10,10,0,0.255,0.078,0.083,0.006,1.155,0.626,0.328,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.3005,1.1287,NA,1.4244,1.4296,NA,NA,NA,NA,NA,NA,NA,NA,3.214,-13.8,3.11,-14.417,0.7447818,5.6998335,6.76,52.3,25.10322581,0.186429381,23.55455652,5.33163119
ISPS6,14/02/2017,I. palifera,1,GI,Guiwan ,10,w,1,1,11903.8916,18.6291,6384.852051,10,1,0.0907,0.1059,0.0998,215,245,210,220,225,200,15,23,24,31,22,21,3,10,10,-0.001,0.458,0.13,0.134,0.015,0.566,0.304,0.195,2,5,STC.2017.10.24,-40.886,162.15,-71.413,692.12,-3.349,0.1048,1.7237,1.5628,NA,1.7929,1.8123,NA,NA,NA,NA,NA,NA,NA,NA,3.111,-13.373,2.432,-14.323,0.6356938,4.8988501,7.38,56.29,25.10322581,0.186429381,23.55455652,5.33163119
PAPS1,8/2/2017,P. speciosa,1,GI,Guiwan ,10,w,1,1,10658.626,14.7918,6309.5562,10,1,0.0895,0.11,0.1031,145,210,205,185,145,155,29,27,19,27,24,23,3,10,10,-0.001,0.365,0.101,0.109,0.005,0.777,0.391,0.222,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.9469,0.8589,NA,1.3049,1.3188,NA,NA,NA,NA,NA,NA,NA,NA,0.019,-17.02,2.492,-16.781,0.4769908,3.3299954,6.49358,47.6350107,25.10322581,0.186429381,23.55455652,5.33163119
PAPS2,8/2/2017,P. speciosa,1,GI,Guiwan ,10,w,1,1,4532.2661,4.9713,5189.2939,10,1,0.0904,0.11,0.1047,101,113,86,110,105,95,12,19,10,14,9,12,3,10,10,-0.001,0.256,0.071,0.077,0.002,0.571,0.276,0.156,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.6708,0.6387,NA,0.6977,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.693,NA,NA,NA,2.3768365,NA,NA,25.10322581,0.186429381,23.55455652,5.33163119
PAPS4,9/2/2017,P. speciosa,1,GI,Guiwan ,10,w,1,1,3054.0232,4.7085,3803.6978,10,1,0.09,0.1076,0.1029,92,71,103,65,91,76,16,21,12,17,12,13,3,10,10,-0.001,0.216,0.058,0.065,-0.002,0.246,0.108,0.069,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.6206,0.5951,NA,0.6999,0.7014,NA,NA,NA,NA,NA,NA,NA,NA,2.676,-18.483,2.993,-18.238,0.3464114,2.8071895,6.4867444,48.9442205,25.10322581,0.186429381,23.55455652,5.33163119
PAPS5,9/2/2017,P. speciosa,1,GI,Guiwan ,10,w,1,1,3964.105225,5.4825,6519.035645,10,1,0.0904,0.11,0.1033,180,245,215,345,305,210,11,25,21,27,34,18,3,10,10,0.002,0.431,0.125,0.134,-0.001,0.493,0.188,0.126,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,1.3128,1.3124,NA,1.2938,1.3349,NA,NA,NA,NA,NA,NA,NA,NA,1.544,-17.312,3.219,-17.141,0.7519701,5.4515205,6.3494844,47.8361863,25.10322581,0.186429381,23.55455652,5.33163119
PAPS9,14/02/2017,P. speciosa,1,GI,Guiwan ,10,w,1,1,5965.083984,10.5423,10730.26563,10,1,0.0905,0.1084,0.103,155,185,230,185,245,195,12,19,18,25,26,27,3,10,10,0,0.313,0.092,0.097,0.003,1.192,0.692,0.34,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.804,0.8024,NA,0.8943,0.9078,NA,NA,NA,NA,NA,NA,NA,NA,0.209,-17.71,3.153,-17.754,0.8524906,6.3078409,6.1545096,45.072074,25.10322581,0.186429381,23.55455652,5.33163119
PAPD1,7/2/2017,P. speciosa,1,GI,Guiwan ,40,w,1,1,1198.848511,2.5909,2533.926758,10,1,0.0892,0.1085,0.1028,131,150,160,145,125,145,28,40,21,34,22,30,3,10,10,0,0.264,0.077,0.084,0,0.105,0.036,0.034,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.7767,0.7772,NA,0.9594,0.9808,NA,NA,NA,NA,NA,NA,NA,NA,0.415,-18.565,3.979,-17.757,0.612228,4.4749379,5.7760113,44.0113713,25.10322581,0.186429381,8.22187065,2.703807284
PAPD3,7/2/2017,P. speciosa,1,GI,Guiwan ,40,w,1,1,3464.395264,6.8337,5949.522949,10,1,0.0903,0.1103,0.1041,200,220,190,195,245,175,21,40,26,43,34,40,3,10,10,0.003,0.579,0.161,0.181,0.003,0.323,0.108,0.099,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.8943,0.9042,NA,1.4685,1.4914,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.224,3.599,-16.451,NA,2.96043,5.7349731,46.0595553,25.10322581,0.186429381,8.22187065,2.703807284
PAPD4,8/2/2017,P. speciosa,1,GI,Guiwan ,40,w,1,1,5725.521973,10.6849,8776.837891,10,1,0.0897,0.1096,0.1027,230,270,215,330,240,215,24,51,34,31,30,43,3,10,10,0.001,0.358,0.109,0.115,0.003,0.462,0.138,0.124,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,1.1058,1.0714,NA,1.6432,1.6612,NA,NA,NA,NA,NA,NA,NA,NA,0.122,-16.935,3.94,-17.457,0.5963581,4.5872232,5.9521539,45.4144942,25.10322581,0.186429381,8.22187065,2.703807284
PAPD5,8/2/2017,P. speciosa,1,GI,Guiwan ,40,w,1,1,10842.15723,22.1452,9634.841797,10,1,0.0896,0.1094,0.103,260,255,235,230,240,205,16,45,29,34,16,29,3,10,10,0.001,0.417,0.12,0.129,-0.001,0.185,0.053,0.051,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,1.0656,1.0595,NA,NA,1.5849,NA,NA,NA,NA,NA,NA,NA,NA,-1.782,-17.692,3.853,-16.929,0.5629084,4.0418593,5.8759872,45.5245116,25.10322581,0.186429381,8.22187065,2.703807284
PAPD6,8/2/2017,P. speciosa,1,GI,Guiwan ,40,w,1,1,5541.703125,8.3661,11432.33203,10,1,0.0894,0.1083,0.1022,250,235,190,300,240,295,22,31,16,26,27,33,3,10,10,0.001,0.48,0.134,0.147,-0.002,0.113,0.034,0.034,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.9956,0.9884,NA,1.2444,1.2951,NA,NA,NA,NA,NA,NA,NA,NA,-0.918,-18.502,3.715,-17.58,0.8145069,6.1873451,6.1215368,46.4337772,25.10322581,0.186429381,8.22187065,2.703807284
PAPD7,8/2/2017,P. speciosa,1,GI,Guiwan ,40,w,1,1,1448.67627,2.3192,2315.841797,10,1,0.0885,0.109,0.1017,215,225,225,315,225,245,36,43,26,27,29,26,3,10,10,0,0.404,0.116,0.126,-0.002,0.075,0.024,0.021,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.9434,1.0303,NA,1.4487,1.5179,NA,NA,NA,NA,NA,NA,NA,NA,-5.024,-18.412,4.265,-16.981,0.7965632,5.2274206,5.9317619,45.2392151,25.10322581,0.186429381,8.22187065,2.703807284
PAPSS3,20/07/2017,P. speciosa,1,GI,Guiwan ,15,s,1,1,8405.505859,16.8527,6165.071777,10,1,0.0894,0.1069,0.1014,130,120,125,151,115,155,13,14,9,19,14,12,3,10,10,0.001,0.054,0.016,0.02,0.003,1.121,0.649,0.325,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.7723,0.7706,NA,1.0652,1.0974,NA,NA,NA,NA,NA,NA,NA,NA,1.102,-18.584,3.041,-16.398,0.814844,5.7932899,5.7783552,44.5093803,28.34967213,1.07605602,38.28045074,4.483253768
PAPSS4,21/07/2017,P. speciosa,1,GI,Guiwan ,10,s,1,1,4458.709961,5.8235,3591.518311,10,1,0.0908,0.1099,0.1035,245,245,220,240,220,190,22,21,15,28,24,28,3,10,10,0,0.202,0.056,0.067,0.003,0.614,0.293,0.181,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.9566,0.9367,NA,1.3213,1.3812,NA,NA,NA,NA,NA,NA,NA,NA,-1.669,-16.741,2.531,-15.743,0.8108261,5.4458628,5.2427954,41.6276847,28.34967213,1.07605602,44.06271592,4.294457341
PAPSS5,21/07/2017,P. speciosa,1,GI,Guiwan ,10,s,1,1,11861.6084,16.6811,7356.744629,10,1,0.091,0.1103,0.104,145,230,100,134,125,150,11,27,10,20,11,13,3,10,10,0,0.354,0.098,0.112,0.009,1.078,0.534,0.335,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.733,0.7132,NA,1.5684,1.6263,NA,NA,NA,NA,NA,NA,NA,NA,-3.654,-19.136,2.601,-16.253,0.4869299,3.309849,5.4035943,44.8459226,28.34967213,1.07605602,44.06271592,4.294457341
PAPSS6,21/07/2017,P. speciosa,1,GI,Guiwan ,10,s,1,1,45138.58984,53.7956,17142.31445,10,1,0.0888,0.1087,0.1021,210,140,185,160,210,210,11,21,16,15,19,32,3,10,10,-0.001,0.143,0.039,0.048,0.008,1.016,0.422,0.266,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.8721,0.8769,NA,1.473,1.5379,NA,NA,NA,NA,NA,NA,NA,NA,-0.233,-16.74,2.408,-15.361,0.976137,7.7700049,4.2042893,37.3801972,28.34967213,1.07605602,44.06271592,4.294457341
PAPSS7,21/07/2017,P. speciosa,1,GI,Guiwan ,10,s,1,1,21621.49023,21.6058,18543.73047,10,1,0.0899,0.1096,0.1029,215,225,165,170,195,210,25,44,37,32,20,47,3,10,10,0.001,0.223,0.065,0.074,0.001,0.373,0.111,0.103,3,5,STC.2017.12.14a,-55.783,201.46,-78.574,801.69,0.5624,0.0829,0.7788,0.8046,NA,1.5754,1.6444,NA,NA,NA,NA,NA,NA,NA,NA,0.862,-16.666,2.814,-16.512,0.7809898,7.0822771,6.490972,48.3597326,28.34967213,1.07605602,44.06271592,4.294457341
PAPSB1,27/04/2017,P. speciosa,1,NT,Bitou,10,w,1,1,4626.043945,6.3682,6546.075195,10.5,1,0.0901,0.1133,0.1052,265,335,300,355,300,310,20,27,14,25,16,29,3,10,10,0.006,0.148,0.048,0.059,0.004,0.355,0.104,0.103,3,5,STC.2017.12.14b,0.9116,-0.5523,133.23,705.22,3.9129,0.08995,1.3759,1.438,NA,1.5304,1.5407,NA,NA,NA,NA,NA,NA,NA,NA,2.171,-18.373,5.271,-16.966,0.8368164,6.8491999,5.23225,41.574364,21.37372881,0.778337969,19.68947976,3.481554209
PAPSL3,19/05/2017,P. speciosa,1,NT,Longdong,10,w,1,1,10331.06641,12.7797,13866.73438,10,1,0.0913,0.1176,0.1071,400,430,400,565,460,695,35,43,25,44,30,58,3,10,10,0.005,0.504,0.145,0.167,0.004,0.384,0.117,0.126,3,5,STC.2017.12.14b,0.9116,-0.5523,133.23,705.22,3.9129,0.08995,1.5332,1.5144,NA,2.3184,2.4107,NA,NA,NA,NA,NA,NA,NA,NA,-0.611,-17.857,4.579,-17.058,0.8131963,6.4690561,4.838191,41.3456589,21.87770492,1.255479183,19.6115858,2.265553252
